wikidata,legislature,name,website,statistical-geography,toid,start-date,end-date
Q7571153,Q21561350,Southwark London Borough Council,https://www.southwark.gov.uk,,,,
Q73072774,Q21561306,Spelthorne Borough Council,https://www.spelthorne.gov.uk,,,,
Q7592257,Q21561306,St Albans City and District Council,https://www.stalbans.gov.uk,,,,
Q73072776,Q21561306,St Edmundsbury Borough Council,https://www.stedmundsbury.gov.uk,,,,2019-04-01T00:00:00Z
Q17022094,Q19414242,St Helens Metropolitan Borough Council,https://www.sthelens.gov.uk,,,,
Q73072778,Q21561306,Stafford Borough Council,https://www.staffordbc.gov.uk,,,,
Q6386295,Q4321471,Staffordshire County Council,https://www.staffordshire.gov.uk,,,,
Q73072779,Q21561306,Staffordshire Moorlands District Council,https://www.staffsmoorlands.gov.uk,,,,
Q7615422,Q21561306,Stevenage Borough Council,https://www.stevenage.gov.uk,,,,
Q7618164,Q19414242,Stockport Metropolitan Borough Council,https://www.stockport.gov.uk,,,,
Q17022493,Q21561328,Stockton-on-Tees Borough Council,https://www.stockton.gov.uk,,,,
Q17022507,Q21561328,Stoke-on-Trent City Council,https://www.stoke.gov.uk,,,,
Q73072781,Q21561306,Stratford-on-Avon District Council,https://www.stratford.gov.uk,,,,
Q28401169,Q21561306,Stroud District Council,https://www.stroud.gov.uk,,,,
Q73072783,Q21561306,Suffolk Coastal District Council,https://www.suffolkcoastal.gov.uk,,,,2019-04-01T00:00:00Z
Q3305205,Q4321471,Suffolk County Council,https://www.suffolk.gov.uk,,,,
Q17022675,Q19414242,Sunderland City Council,https://www.sunderland.gov.uk,,,,
Q6386325,Q4321471,Surrey County Council,https://www.surreycc.gov.uk,,,,
Q73072785,Q21561306,Surrey Heath Borough Council,https://www.surreyheath.gov.uk,,,,
Q7650288,Q21561350,Sutton London Borough Council,https://www.sutton.gov.uk,,,,
Q55098937,Q21561306,Swale Borough Council,https://www.swale.gov.uk,,,,
Q17040033,Q21561328,Swindon Borough Council,https://www.swindon.gov.uk,,,,
Q17041259,Q19414242,Tameside Metropolitan Borough Council,https://www.tameside.gov.uk,,,,
Q73072788,Q21561306,Tamworth Borough Council,https://www.tamworth.gov.uk,,,,
Q73072790,Q21561306,Tandridge District Council,https://www.tandridge.gov.uk,,,,
Q73072791,Q21561306,Taunton Deane Borough Council,https://www.tauntondeane.gov.uk,,,,2019-04-01T00:00:00Z
Q21061639,Q5150900,Tees Valley Combined Authority,https://teesvalley-ca.gov.uk,,,,
Q73072792,Q21561306,Teignbridge District Council,https://www.teignbridge.gov.uk,,,,
Q17059334,Q21561328,Telford and Wrekin Council,https://www.telford.gov.uk,,,,
Q73072799,Q21561306,Tendring District Council,https://www.tendringdc.gov.uk,,,,
Q73072801,Q21561306,Test Valley Borough Council,https://www.testvalley.gov.uk,,,,
Q27183368,Q21561306,Tewkesbury Borough Council,https://tewkesbury.gov.uk,,,,
Q7710261,Q21561306,Thanet District Council,https://thanet.gov.uk,,,,
