organisation,wikidata,name,website,statistical-geography,toid,opendatacommunities,esd-inventories,start-date,end-date
development-corporation:Q20648596,Q20648596,Old Oak and Park Royal Development Corporation,https://www.london.gov.uk/about-us/organisations-we-work/old-oak-and-park-royal-development-corporation-opdc,E51000002,,http://opendatacommunities.org/id/dev-corp/old-oak-and-park-royal,,2015-04-01,
development-corporation:Q4916714,Q4916714,Birmingham Heartlands Development Corporation,,,,,,1992-01-01,1998-04-03
development-corporation:Q6670544,Q6670544,London Legacy Development Corporation,https://www.queenelizabetholympicpark.co.uk/planning-authority/planning-policy,E51000001,,http://opendatacommunities.org/id/dev-corp/london-legacy,,2012-03-09,
development-corporation:Q6670837,Q6670837,London Thames Gateway Development Corporation,http://www.ltgdc.org.uk/,,,,,2004-06-26,2013-01-24
development-corporation:Q72456968,Q72456968,South Tees Development Corporation,https://www.southteesdc.com,E51000004,,http://opendatacommunities.org/id/dev-corp/south-tees,,2017-08-01,
development-corporation:Q72463795,Q72463795,Ebbsfleet Development Corporation,https://ebbsfleetdc.org.uk,E51000003,,http://opendatacommunities.org/id/dev-corp/ebbsfleet,,2015-04-20,
development-corporation:Q7799380,Q7799380,Thurrock Thames Gateway Development Corporation,https://www.gov.uk/government/organisations/thurrock-thames-gateway-development-corporation,,,,,2003-10-29,2012-04-03
development-corporation:Q7860503,Q7860503,Tyne and Wear Development Corporation,,,,,,1987-05-15,1998-04-03
development-corporation:Q7986087,Q7986087,West Northamptonshire Development Corporation,http://www.wndc.org.uk,,,,,2004-12-15,2014-03-31
government-organisation:CO1159,,Commercial Court,https://www.gov.uk/courts-tribunals/commercial-court,,,,,,
government-organisation:CS1028,,Civil Service,https://www.gov.uk/government/organisations/civil-service,,,,,,
government-organisation:D1,,Attorney General's Office,https://www.gov.uk/government/organisations/attorney-generals-office,,,,,,
government-organisation:D10,,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions,,,,,,
government-organisation:D101,,Crown Prosecution Service,https://www.gov.uk/government/organisations/crown-prosecution-service,,,,,,
government-organisation:D102,,Food Standards Agency,https://www.gov.uk/government/organisations/food-standards-agency,,,,,,
government-organisation:D103,,Government Actuary's Department,https://www.gov.uk/government/organisations/government-actuarys-department,,,,,,
government-organisation:D106,,Ofsted,https://www.gov.uk/government/organisations/ofsted,,,,,,
government-organisation:D1073,,Department of Justice (Northern Ireland),https://www.gov.uk/government/organisations/department-of-justice-northern-ireland,,,,,,
government-organisation:D108,,Ofgem,https://www.gov.uk/government/organisations/ofgem,,,,,,
government-organisation:D109,,Ofqual,https://www.gov.uk/government/organisations/ofqual,,,,,,
government-organisation:D11,,Department of Energy & Climate Change,https://www.gov.uk/government/organisations/department-of-energy-climate-change,,,,,,2016-07-14
government-organisation:D110,,Office of Rail Regulation,https://www.gov.uk/government/organisations/office-of-rail-regulation,,,,,,2015-10-16
government-organisation:D1108,,Government Legal Department,https://www.gov.uk/government/organisations/government-legal-department,,,,,,
government-organisation:D1117,,Office of Rail and Road,https://www.gov.uk/government/organisations/office-of-rail-and-road,,,,,,
government-organisation:D115,,Serious Fraud Office,https://www.gov.uk/government/organisations/serious-fraud-office,,,,,,
government-organisation:D116,,UK Statistics Authority,https://www.gov.uk/government/organisations/uk-statistics-authority,,,,,,
government-organisation:D117,,UK Trade & Investment,https://www.gov.uk/government/organisations/uk-trade-investment,,,,,,2016-07-13
government-organisation:D1196,,Department for International Trade,https://www.gov.uk/government/organisations/department-for-international-trade,,,,,,
government-organisation:D1197,,Department for Exiting the European Union,https://www.gov.uk/government/organisations/department-for-exiting-the-european-union,,,,,,
government-organisation:D1198,,"Department for Business, Energy & Industrial Strategy",https://www.gov.uk/government/organisations/department-for-business-energy-and-industrial-strategy,,,,,,
government-organisation:D12,,Department of Health and Social Care,https://www.gov.uk/government/organisations/department-of-health-and-social-care,,,,,,
government-organisation:D13,,Foreign & Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office,,,,,,
government-organisation:D15,,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury,,,,,,
government-organisation:D16,,Home Office,https://www.gov.uk/government/organisations/home-office,,,,,,
government-organisation:D17,,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence,,,,,,
government-organisation:D18,,Ministry of Justice,https://www.gov.uk/government/organisations/ministry-of-justice,,,,,,
government-organisation:D19,,Northern Ireland Office,https://www.gov.uk/government/organisations/northern-ireland-office,,,,,,
government-organisation:D2,,Cabinet Office,https://www.gov.uk/government/organisations/cabinet-office,,,,,,
government-organisation:D20,,Office of the Advocate General for Scotland,https://www.gov.uk/government/organisations/office-of-the-advocate-general-for-scotland,,,,,,
government-organisation:D21,,Office of the Leader of the House of Commons,https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons,,,,,,
government-organisation:D22,,Office of the Leader of the House of Lords,https://www.gov.uk/government/organisations/office-of-the-leader-of-the-house-of-lords,,,,,,
government-organisation:D23,,Office of the Secretary of State for Scotland,https://www.gov.uk/government/organisations/office-of-the-secretary-of-state-for-scotland,,,,,,
government-organisation:D24,,Office of the Secretary of State for Wales,https://www.gov.uk/government/organisations/office-of-the-secretary-of-state-for-wales,,,,,,
government-organisation:D240,,The Water Services Regulation Authority,https://www.gov.uk/government/organisations/the-water-services-regulation-authority,,,,,,
government-organisation:D241,,UK Export Finance,https://www.gov.uk/government/organisations/uk-export-finance,,,,,,
government-organisation:D25,,HM Revenue & Customs,https://www.gov.uk/government/organisations/hm-revenue-customs,,,,,,
government-organisation:D3,,"Department for Business, Innovation & Skills",https://www.gov.uk/government/organisations/department-for-business-innovation-skills,,,,,,2016-07-14
government-organisation:D30,,Treasury Solicitor’s Department,https://www.gov.uk/government/organisations/treasury-solicitor-s-department,,,,,,
government-organisation:D303,,Office for National Statistics,https://www.gov.uk/government/organisations/office-for-national-statistics,,,,,,
government-organisation:D352,,Office of Fair Trading,https://www.gov.uk/government/organisations/office-of-fair-trading,,,,,,2014-04-01
government-organisation:D38,,Ordnance Survey,https://www.gov.uk/government/organisations/ordnance-survey,,,,,,
government-organisation:D4,Q601819,"Ministry of Housing, Communities and Local Government",https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government,,,http://opendatacommunities.org/def/concept/folders/organisations/department-for-communities-and-local-government,,,
government-organisation:D435,,Supreme Court of the United Kingdom,https://www.gov.uk/government/organisations/supreme-court-of-the-united-kingdom,,,,,,
government-organisation:D5,,"Department for Digital, Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-digital-culture-media-sport,,,,,,
government-organisation:D550,,Competition and Markets Authority,https://www.gov.uk/government/organisations/competition-and-markets-authority,,,,,,
government-organisation:D582,,Scottish Office,https://www.gov.uk/government/organisations/scottish-office,,,,,,1999
government-organisation:D583,,Department for Education and Skills,https://www.gov.uk/government/organisations/department-for-education-and-skills,,,,,,2007
government-organisation:D584,,Department of Social Security,https://www.gov.uk/government/organisations/department-of-social-security,,,,,,2001
government-organisation:D585,,Department of Education (Northern Ireland),https://www.gov.uk/government/organisations/department-of-education,,,,,,
government-organisation:D586,,Department of Trade and Industry,https://www.gov.uk/government/organisations/department-of-trade-and-industry,,,,,,
government-organisation:D587,,Department for Constitutional Affairs,https://www.gov.uk/government/organisations/department-for-constitutional-affairs,,,,,,2007-05-09
government-organisation:D591,,Department of the Environment (Northern Ireland),https://www.gov.uk/government/organisations/department-of-the-environment,,,,,,
government-organisation:D595,,Lord Chancellor's Department,https://www.gov.uk/government/organisations/lord-chancellors-department,,,,,,2003-06-12
government-organisation:D598,,Department of Constitutional Affairs,https://www.gov.uk/government/organisations/department-of-constitutional-affairs,,,,,,2007-05-09
government-organisation:D6,,Department for Education,https://www.gov.uk/government/organisations/department-for-education,,,,,,
government-organisation:D605,,Department of Finance and Personnel for Northern Ireland,https://www.gov.uk/government/organisations/department-of-finance-and-personnel-for-northern-ireland,,,,,,
government-organisation:D608,,"Department for Innovation, Universities and Skills",https://www.gov.uk/government/organisations/department-for-innovation-universities-and-skills,,,,,,2009-06
government-organisation:D609,,"Department for Children, Schools and Families",https://www.gov.uk/government/organisations/department-for-children-schools-and-families,,,,,,2010-05-12
government-organisation:D611,,"Department for Business, Enterprise and Regulatory Reform",https://www.gov.uk/government/organisations/department-for-business-enterprise-and-regulatory-reform,,,,,,2009-06-05
government-organisation:D631,,Department of Inland Revenue,https://www.gov.uk/government/organisations/department-of-inland-revenue,,,,,,2005-04
government-organisation:D69,,HM Land Registry,https://www.gov.uk/government/organisations/land-registry,,,,,,
government-organisation:D7,,"Department for Environment, Food & Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs,,,,,,
government-organisation:D746,,"Department of Health, Social Services and Public Safety",https://www.gov.uk/government/organisations/department-of-health-social-services-and-public-safety,,,,,,
government-organisation:D747,,Department for Regional Development,https://www.gov.uk/government/organisations/department-for-regional-development,,,,,,
government-organisation:D748,,Department for Social Development,https://www.gov.uk/government/organisations/department-for-social-development,,,,,,
government-organisation:D750,,"Department of Enterprise, Trade and Investment",https://www.gov.uk/government/organisations/department-of-enterprise-trade-and-investment,,,,,,
government-organisation:D753,,Department of Agriculture and Rural Development,https://www.gov.uk/government/organisations/department-of-agriculture-and-rural-development,,,,,,
government-organisation:D8,,Department for International Development,https://www.gov.uk/government/organisations/department-for-international-development,,,,,,
government-organisation:D85,,Forestry Commission,https://www.gov.uk/government/organisations/forestry-commission,,,,,,
government-organisation:D853,,"Department of Culture, Arts and Leisure",https://www.gov.uk/government/organisations/department-of-culture-arts-and-leisure,,,,,,
government-organisation:D854,,Department for Employment and Learning,https://www.gov.uk/government/organisations/department-for-employment-and-learning,,,,,,
government-organisation:D9,,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport,,,,,,
government-organisation:D974,,Exchequer and Audit Department,https://www.gov.uk/government/organisations/exchequer-and-audit-department,,,,,,1983
government-organisation:D98,,The Charity Commission,https://www.gov.uk/government/organisations/charity-commission,,,,,,
government-organisation:DA1019,,Welsh Government,https://www.gov.uk/government/organisations/welsh-government,,,,,,
government-organisation:DA1020,,Scottish Government,https://www.gov.uk/government/organisations/the-scottish-government,,,,,,
government-organisation:DA1021,,Northern Ireland Executive,https://www.gov.uk/government/organisations/northern-ireland-executive,,,,,,
government-organisation:DA1105,,Estyn,https://www.gov.uk/government/organisations/estyn,,,,,,
government-organisation:DA1146,,"Department of Culture, Arts and Leisure Northern Ireland",,,,,,,2016-05
government-organisation:EA1015,,Crown Commercial Service,https://www.gov.uk/government/organisations/crown-commercial-service,,,,,,
government-organisation:EA104,,NS&I,https://www.gov.uk/government/organisations/ns-i,,,,,,
government-organisation:EA1079,,Animal and Plant Health Agency,https://www.gov.uk/government/organisations/animal-and-plant-health-agency,,,,,,
government-organisation:EA1084,,Government Internal Audit Agency,https://www.gov.uk/government/organisations/government-internal-audit-agency,,,,,,
government-organisation:EA1109,,National Measurement and Regulation Office,https://www.gov.uk/government/organisations/national-measurement-and-regulation-office,,,,,,
government-organisation:EA1113,,Defence Electronics and Components Agency,https://www.gov.uk/government/organisations/defence-electronics-and-components-agency,,,,,,
government-organisation:EA1114,,Highways England,https://www.gov.uk/government/organisations/highways-england,,,,,,
government-organisation:EA1119,,Oil and Gas Authority,https://www.gov.uk/government/organisations/oil-and-gas-authority,,,,,,
government-organisation:EA114,,Royal Mint,https://www.gov.uk/government/organisations/royal-mint,,,,,,
government-organisation:EA1213,,Her Majesty’s Prison and Probation Service,https://www.gov.uk/government/organisations/her-majestys-prison-and-probation-service,,,,,,
government-organisation:EA1255,,Government Property Agency,https://www.gov.uk/government/organisations/government-property-agency,,,,,,
government-organisation:EA1256,,Teaching Regulation Agency,https://www.gov.uk/government/organisations/teaching-regulation-agency,,,,,,
government-organisation:EA199,,Environment Agency,https://www.gov.uk/government/organisations/environment-agency,,,,,,
government-organisation:EA242,,Education Funding Agency,https://www.gov.uk/government/organisations/education-funding-agency,,,,,,
government-organisation:EA243,,Standards and Testing Agency,https://www.gov.uk/government/organisations/standards-and-testing-agency,,,,,,
government-organisation:EA26,,Companies House,https://www.gov.uk/government/organisations/companies-house,,,,,,
government-organisation:EA31,,UK Space Agency,https://www.gov.uk/government/organisations/uk-space-agency,,,,,,
government-organisation:EA32,,The Insolvency Service,https://www.gov.uk/government/organisations/insolvency-service,,,,,,
government-organisation:EA321,,HM Prison Service,https://www.gov.uk/government/organisations/hm-prison-service,,,,,,
government-organisation:EA33,,National Measurement Office,https://www.gov.uk/government/organisations/national-measurement-office,,,,,,
government-organisation:EA34,,Intellectual Property Office,https://www.gov.uk/government/organisations/intellectual-property-office,,,,,,
government-organisation:EA365,,Government Procurement Service,https://www.gov.uk/government/organisations/government-procurement-service,,,,,,2014-04-01
government-organisation:EA37,,Fire Service College,https://www.gov.uk/government/organisations/fire-service-college,,,,,,
government-organisation:EA39,Q7201367,Planning Inspectorate,https://www.gov.uk/government/organisations/planning-inspectorate,,,http://opendatacommunities.org/def/concept/folders/organisations/the-planning-inspectorate,,,
government-organisation:EA40,,Queen Elizabeth II Conference Centre,https://www.gov.uk/government/organisations/queen-elizabeth-ii-conference-centre,,,,,,
government-organisation:EA41,,Royal Parks,https://www.gov.uk/government/organisations/royal-parks,,,,,,2017-03-15
government-organisation:EA42,,Defence Science and Technology Laboratory,https://www.gov.uk/government/organisations/defence-science-and-technology-laboratory,,,,,,
government-organisation:EA44,,Defence Support Group,https://www.gov.uk/government/organisations/defence-support-group,,,,,,2015-03-31
government-organisation:EA46,,Met Office,https://www.gov.uk/government/organisations/met-office,,,,,,
government-organisation:EA480,,Public Health England,https://www.gov.uk/government/organisations/public-health-england,,,,,,
government-organisation:EA49,,Service Children's Education,https://www.gov.uk/government/organisations/service-children-s-education,,,,,,
government-organisation:EA50,,Service Personnel and Veterans Agency,https://www.gov.uk/government/organisations/service-personnel-and-veterans-agency,,,,,,2014-04-01
government-organisation:EA51,,UK Hydrographic Office,https://www.gov.uk/government/organisations/uk-hydrographic-office,,,,,,
government-organisation:EA52,,Animal Health and Veterinary Laboratories Agency,https://www.gov.uk/government/organisations/animal-health-and-veterinary-laboratories-agency,,,,,,2011-04-01
government-organisation:EA53,,"Centre for Environment, Fisheries and Aquaculture Science",https://www.gov.uk/government/organisations/centre-for-environment-fisheries-and-aquaculture-science,,,,,,
government-organisation:EA54,,Forest Research,https://www.gov.uk/government/organisations/forest-research,,,,,,
government-organisation:EA541,,National College for Teaching and Leadership,https://www.gov.uk/government/organisations/national-college-for-teaching-and-leadership,,,,,,2018-04-01
government-organisation:EA55,,Forest Enterprise (England),https://www.gov.uk/government/organisations/forest-enterprise-england,,,,,,
government-organisation:EA556,,Legal Aid Agency,https://www.gov.uk/government/organisations/legal-aid-agency,,,,,,
government-organisation:EA56,,The Food and Environment Research Agency,https://www.gov.uk/government/organisations/the-food-and-environment-research-agency,,,,,,
government-organisation:EA570,,Driver and Vehicle Standards Agency,https://www.gov.uk/government/organisations/driver-and-vehicle-standards-agency,,,,,,
government-organisation:EA58,,Rural Payments Agency,https://www.gov.uk/government/organisations/rural-payments-agency,,,,,,
government-organisation:EA60,,Veterinary Medicines Directorate,https://www.gov.uk/government/organisations/veterinary-medicines-directorate,,,,,,
government-organisation:EA601,,HM Courts Service,https://www.gov.uk/government/organisations/hm-court-service,,,,,,
government-organisation:EA61,,FCO Services,https://www.gov.uk/government/organisations/fco-services,,,,,,
government-organisation:EA62,,Wilton Park,https://www.gov.uk/government/organisations/wilton-park,,,,,,
government-organisation:EA624,,Qualifications and Curriculum Authority,https://www.gov.uk/government/organisations/qualifications-and-curriculum-authority,,,,,,2010-04-01
government-organisation:EA63,,Medicines and Healthcare products Regulatory Agency,https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency,,,,,,
government-organisation:EA630,,Rivers Agency,https://www.gov.uk/government/organisations/rivers-agency,,,,,,
government-organisation:EA633,,NHS Pensions Agency,https://www.gov.uk/government/organisations/nhs-pensions-agency,,,,,,2006-04-01
government-organisation:EA656,,National Biological Standards Board,https://www.gov.uk/government/organisations/national-biological-standards-board,,,,,,2008-07
government-organisation:EA66,,HM Passport Office,https://www.gov.uk/government/organisations/hm-passport-office,,,,,,
government-organisation:EA660,,Public Health Laboratory Service Board,https://www.gov.uk/government/organisations/public-health-laboratory-service-board,,,,,,2004-08-02
